,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
90,-0.55%,-0.32%,0.37%,0 days 00:36:00.000000000,0.37%,1.7269999999999675,230,-1.1538580063073958,-0.012647999999998993,25%,4,-1.02%,0 days 00:30:00.000000000,5,30,30
91,-0.53%,-0.53%,nan%,0 days 00:33:40.000000000,-0.24%,1.6649999999999832,230,-0.8559638817915448,-0.009721999999999453,0%,3,-1.02%,0 days 00:30:00.000000000,10,30,30
92,-0.93%,-0.93%,nan%,0 days 00:36:30.000000000,-0.73%,1.908999999999883,230,-0.8586446236680557,-0.010169999999999013,0%,2,-1.12%,0 days 00:32:00.000000000,26,30,30
93,-0.81%,-0.81%,nan%,0 days 00:37:00.000000000,-0.50%,1.7557999999998741,230,-0.7207524028229936,-0.008569999999998745,0%,2,-1.12%,0 days 00:32:00.000000000,30,30,30
94,-0.74%,-0.74%,nan%,0 days 00:37:30.000000000,-0.49%,1.7877999999999283,230,-0.6005141162870589,-0.006969999999999366,0%,2,-1.00%,0 days 00:34:00.000000000,45,30,30
95,-0.78%,-0.78%,nan%,0 days 00:34:30.000000000,-0.54%,1.6629999999998923,230,-0.6732808165570319,-0.0077099999999993285,0%,2,-1.02%,0 days 00:30:00.000000000,5,45,30
96,-0.97%,-0.97%,nan%,0 days 00:35:00.000000000,-0.68%,2.0597999999999894,230,-0.9446630898579341,-0.010849999999999693,0%,2,-1.26%,0 days 00:31:00.000000000,10,45,30
97,-0.79%,-0.79%,nan%,0 days 00:37:30.000000000,-0.58%,1.879799999999987,230,-0.6814565004809553,-0.00789000000000073,0%,2,-1.00%,0 days 00:34:00.000000000,26,45,30
98,-0.77%,-0.77%,nan%,0 days 00:38:00.000000000,-0.57%,1.7777999999999294,230,-0.6690846464272874,-0.007729999999998349,0%,2,-0.97%,0 days 00:35:00.000000000,30,45,30
99,-0.87%,-0.87%,nan%,0 days 00:40:00.000000000,-0.74%,2.0237999999999645,230,-0.7048276457742269,-0.008050000000000113,0%,2,-1.00%,0 days 00:39:00.000000000,45,45,30
100,-0.23%,-0.00%,0.30%,0 days 00:12:00.000000000,0.78%,1.0939262927719997,143,0.11682371823248479,0.0009900000000007125,43%,7,-0.50%,0 days 00:07:00.000000000,5,5,45
101,-0.24%,-0.07%,0.62%,0 days 00:17:36.000000000,0.62%,1.1432316172871109,143,-0.4629420195692094,-0.004085999999999146,20%,5,-0.51%,0 days 00:09:00.000000000,10,5,45
102,-0.77%,-0.49%,0.08%,0 days 00:20:00.000000000,0.08%,1.5857999999999817,215,-0.7076573713615912,-0.0068219999999989955,33%,3,-0.84%,0 days 00:34:00.000000000,26,5,45
103,-0.53%,-0.53%,nan%,0 days 00:20:00.000000000,-0.11%,1.6058000000000017,215,-0.806052278896856,-0.0076820000000003,0%,3,-0.75%,0 days 00:35:00.000000000,30,5,45
104,-0.67%,-0.67%,nan%,0 days 00:28:00.000000000,-0.55%,1.5857999999999706,215,-0.5802305648655645,-0.005549999999999833,0%,2,-0.80%,0 days 00:36:00.000000000,45,5,45
105,-0.37%,-0.04%,0.28%,0 days 00:22:30.000000000,0.53%,0.9936479219458833,143,-0.11203922215074956,-0.0009739999999991422,50%,4,-0.50%,0 days 00:11:00.000000000,5,10,45
106,-0.47%,-0.09%,0.29%,0 days 00:22:30.000000000,0.54%,0.971799999999956,215,-0.4720811585136717,-0.003933999999999549,50%,4,-0.49%,0 days 00:13:00.000000000,10,10,45
107,-0.46%,-0.46%,nan%,0 days 00:20:20.000000000,-0.07%,1.447799999999988,215,-0.6213724869160214,-0.006002000000000063,0%,3,-0.73%,0 days 00:32:00.000000000,26,10,45
