EMVStrategy_12_5_120,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-05-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-02-20 20:00:00,BTCUSDT,SHORT,100,Binance,11723.96,1172.396
2018-02-23 14:00:00,BTCUSDT,LONG,100,Binance,10330.0,1033.0
2018-02-24 11:00:00,BTCUSDT,SHORT,100,Binance,9757.0,975.7
2018-02-25 11:00:00,BTCUSDT,LONG,100,Binance,9665.0,966.5
2018-02-25 23:00:00,BTCUSDT,SHORT,100,Binance,9590.0,959.0
2018-02-26 05:00:00,BTCUSDT,LONG,100,Binance,9618.0,961.8000000000001
2018-02-28 15:00:00,BTCUSDT,SHORT,100,Binance,10506.85,1050.6850000000002
2018-03-01 14:00:00,BTCUSDT,LONG,100,Binance,10788.86,1078.8860000000002
2018-03-02 15:00:00,BTCUSDT,SHORT,100,Binance,10855.34,1085.534
2018-03-03 05:00:00,BTCUSDT,LONG,100,Binance,11324.76,1132.476
2018-03-04 03:00:00,BTCUSDT,SHORT,100,Binance,11163.0,1116.3
2018-03-05 00:00:00,BTCUSDT,LONG,100,Binance,11494.98,1149.498
2018-03-06 00:00:00,BTCUSDT,SHORT,100,Binance,11304.0,1130.4
2018-03-09 19:00:00,BTCUSDT,LONG,100,Binance,8770.7,877.0700000000002
2018-03-11 01:00:00,BTCUSDT,SHORT,100,Binance,8580.01,858.0010000000001
2018-03-11 14:00:00,BTCUSDT,LONG,100,Binance,9177.03,917.7030000000001
2018-03-12 20:00:00,BTCUSDT,SHORT,100,Binance,9020.1,902.0100000000001
2018-03-13 16:00:00,BTCUSDT,LONG,100,Binance,9199.76,919.9760000000001
2018-03-13 21:00:00,BTCUSDT,SHORT,100,Binance,9099.0,909.9000000000001
2018-03-14 06:00:00,BTCUSDT,LONG,100,Binance,9150.0,915.0
2018-03-14 12:00:00,BTCUSDT,SHORT,100,Binance,8688.99,868.899
2018-03-15 18:00:00,BTCUSDT,LONG,100,Binance,8126.0,812.6
2018-03-16 11:00:00,BTCUSDT,SHORT,100,Binance,8192.94,819.2940000000001
2018-03-16 14:00:00,BTCUSDT,LONG,100,Binance,8420.82,842.082
2018-03-17 11:00:00,BTCUSDT,SHORT,100,Binance,8158.01,815.801
2018-03-18 22:00:00,BTCUSDT,LONG,100,Binance,8145.0,814.5
2018-03-21 20:00:00,BTCUSDT,SHORT,100,Binance,8872.0,887.2
2018-03-24 01:00:00,BTCUSDT,LONG,100,Binance,8817.99,881.799
2018-03-24 21:00:00,BTCUSDT,SHORT,100,Binance,8663.36,866.3360000000001
2018-03-26 01:00:00,BTCUSDT,LONG,100,Binance,8417.0,841.7
2018-03-26 09:00:00,BTCUSDT,SHORT,100,Binance,8290.04,829.0040000000001
2018-03-27 11:00:00,BTCUSDT,LONG,100,Binance,7933.01,793.301
2018-03-27 14:00:00,BTCUSDT,SHORT,100,Binance,8071.0,807.1
2018-03-27 17:00:00,BTCUSDT,LONG,100,Binance,7892.86,789.2860000000001
2018-03-28 06:00:00,BTCUSDT,SHORT,100,Binance,7910.0,791.0
2018-03-28 14:00:00,BTCUSDT,LONG,100,Binance,7890.14,789.0140000000001
2018-03-29 04:00:00,BTCUSDT,SHORT,100,Binance,7596.0,759.6
2018-03-30 13:00:00,BTCUSDT,LONG,100,Binance,6881.13,688.113
2018-03-30 14:00:00,BTCUSDT,SHORT,100,Binance,6832.29,683.229
2018-03-30 15:00:00,BTCUSDT,LONG,100,Binance,6839.98,683.998
