,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
35,-8.20%,3.40%,13.95%,6 days 02:51:26,101.91%,13.893933092761404,1980,0.6374546985079533,0.06205765999999935,52%,21,-55.20%,38 days 15:00:00,3.0,14
36,-2.33%,0.58%,6.26%,0 days 14:47:44,58.85%,32.257383885025995,1754,1.3503343512659725,0.6305230899999963,34%,230,-13.63%,0 days 04:00:00,1.0,20
37,-2.60%,0.71%,6.27%,0 days 16:22:21,59.16%,39.08270915290211,1754,1.2221743653350998,0.5517131799999981,37%,204,-13.63%,0 days 04:00:00,1.2,20
38,-2.85%,1.02%,6.06%,0 days 19:33:57,59.16%,30.875754974751462,1095,1.6713231843785514,0.8592034399999975,43%,175,-13.63%,0 days 04:00:00,1.5,20
39,-3.03%,1.94%,6.57%,0 days 23:39:09,59.16%,31.548897469073506,2200,1.7986109409870645,0.9739264099999982,52%,141,-13.63%,0 days 04:00:00,1.8,20
40,-3.15%,2.18%,6.65%,1 days 01:59:32,59.16%,30.37862120790567,1404,1.878154474448332,0.9933141599999997,54%,127,-11.38%,0 days 03:00:00,2.0,20
41,-3.41%,2.39%,7.08%,1 days 05:55:16,59.16%,32.469239303333666,1103,1.7287338719073526,0.8563229700000001,55%,114,-12.70%,1 days 01:00:00,2.2,20
42,-4.41%,2.30%,7.75%,1 days 17:07:35,59.16%,31.265222302679707,1687,1.2511498295083328,0.5537534100000008,55%,87,-14.34%,7 days 09:00:00,2.5,20
43,-6.53%,3.62%,11.01%,3 days 01:29:28,67.78%,19.598892061066973,1916,1.535331727113205,0.6035567699999997,58%,57,-26.98%,12 days 20:00:00,2.8,20
44,-8.02%,2.54%,12.54%,4 days 04:43:47,64.27%,13.53120008423928,1919,1.7032004550294764,0.5901836400000002,51%,37,-31.52%,13 days 07:00:00,3.0,20
45,-2.17%,0.64%,5.78%,0 days 17:43:26,58.49%,27.23141466265814,2123,1.4757624519510057,0.7388881499999971,35%,192,-11.38%,0 days 03:00:00,1.0,26
46,-2.51%,0.71%,5.69%,0 days 19:41:16,57.75%,31.25269055200956,3522,1.2700790443334533,0.6097750799999957,39%,173,-11.38%,0 days 03:00:00,1.2,26
