,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
106,-13.26%,21.48%,56.23%,13 days 01:00:00,101.01%,50.926281990914944,2509,3.4414272436020927,5.542171229999999,50%,4,-19.04%,10 days 10:00:00,2.8,84
104,-14.78%,11.09%,24.03%,8 days 07:20:00,101.97%,70.26263602587525,2509,3.463419040783763,5.477704580000002,67%,9,-17.77%,4 days 06:00:00,2.2,84
117,-7.36%,5.77%,18.91%,5 days 23:04:17,58.09%,65.29876904555158,2509,3.1427487262113774,5.376980360000005,50%,14,-17.93%,2 days 05:00:00,1.0,120
126,-8.48%,12.14%,46.52%,9 days 15:30:00,117.23%,56.643994652798646,2509,3.316654457591016,5.097731320000002,38%,8,-10.79%,2 days 08:00:00,1.0,252
21,-3.71%,1.23%,6.65%,1 days 05:30:29,24.01%,50.66355202773515,2509,2.9792420163698994,5.083796940000003,48%,63,-9.50%,1 days 01:00:00,1.8,12
71,-7.61%,7.87%,13.04%,7 days 19:22:30,31.58%,82.0378351633477,2735,2.800256940715867,4.93888735,75%,8,-14.75%,2 days 09:00:00,3.0,35
87,-11.60%,10.48%,23.73%,9 days 23:15:00,59.66%,75.3883036197289,2735,3.0906249517491573,4.934008820000004,62%,8,-17.77%,4 days 06:00:00,2.5,60
37,-3.86%,1.30%,7.19%,1 days 08:13:00,28.12%,58.43208409805928,2039,2.9518075039162484,4.895938670000015,47%,60,-10.60%,0 days 04:00:00,1.2,20
70,-5.98%,6.95%,25.05%,6 days 06:05:00,56.75%,75.85686077649805,2735,3.115280972987227,4.708575460000003,42%,12,-14.75%,2 days 09:00:00,2.8,35
119,-9.87%,12.02%,44.87%,8 days 07:00:00,141.58%,77.51397814739455,2509,3.092779004337264,4.705803370000002,40%,10,-20.75%,1 days 21:00:00,1.5,120
121,-12.32%,14.33%,40.99%,9 days 21:30:00,136.85%,64.62587969321036,2509,3.2572570390513853,4.6218338,50%,8,-21.39%,3 days 22:00:00,2.0,120
124,-17.52%,16.27%,27.53%,15 days 06:00:00,69.43%,61.21927283860562,2509,3.1336496147740474,4.5317515900000025,75%,4,-17.52%,2 days 12:00:00,2.8,120
91,-4.93%,3.10%,16.16%,3 days 20:34:17,24.98%,60.77874573505305,2735,2.8986085785202422,4.499087870000001,38%,21,-9.20%,1 days 07:00:00,1.2,72
58,-5.03%,2.39%,9.81%,2 days 17:42:51,34.70%,55.077826834414644,2017,2.988482700819366,4.4977242299999975,50%,28,-8.60%,0 days 13:00:00,2.0,30
73,-5.74%,2.22%,9.68%,2 days 15:50:19,34.70%,54.58354291471793,2509,2.9776222799588195,4.468482009999995,52%,31,-17.93%,0 days 12:00:00,1.2,45
133,nan%,25.28%,25.28%,19 days 09:00:00,47.16%,67.64408347866173,2509,2.897048050522812,4.4474399899999995,100%,2,3.40%,13 days 03:00:00,2.8,252
112,-11.16%,9.16%,29.47%,7 days 16:12:00,101.97%,65.3806720062829,2509,3.259264334798112,4.4414553200000055,50%,10,-17.50%,2 days 08:00:00,2.0,96
116,-17.52%,21.12%,40.44%,13 days 12:00:00,69.43%,58.16028637032944,2509,3.189482369515766,4.38493516,67%,3,-17.52%,2 days 12:00:00,3.0,96
60,-8.45%,4.26%,12.35%,4 days 03:46:40,59.66%,78.54274675519306,2735,2.952108948000164,4.370800610000001,61%,18,-14.75%,2 days 09:00:00,2.5,30
16,-22.51%,9.27%,25.16%,12 days 11:20:00,45.08%,81.49731563424741,2509,2.6030708652091126,4.306717770000001,67%,6,-30.39%,12 days 08:00:00,2.8,10
77,-7.34%,4.67%,16.67%,4 days 22:30:00,24.98%,71.1184456164776,2735,2.992894881687584,4.293164980000004,50%,14,-14.75%,2 days 09:00:00,2.2,45
57,-5.20%,2.39%,9.98%,2 days 14:42:00,34.70%,67.67299693257263,2509,2.8286331078282854,4.231927709999994,50%,30,-13.33%,0 days 04:00:00,1.8,30
114,-17.57%,18.58%,54.72%,14 days 08:20:00,132.60%,75.37623360558854,2509,2.9876335934381824,4.220514599999999,50%,6,-25.22%,4 days 02:00:00,2.5,96
64,-4.30%,1.67%,9.76%,2 days 00:13:30,34.70%,56.012260676889994,2509,2.8403533659098983,4.213372549999999,42%,40,-13.33%,0 days 04:00:00,1.2,35
72,-4.86%,2.10%,10.92%,2 days 09:58:14,39.78%,59.073593045700115,2509,2.931045907126403,4.195260969999996,44%,34,-13.33%,0 days 04:00:00,1.0,45
22,-3.86%,1.31%,6.69%,1 days 11:08:34,24.01%,52.61629034701344,2276,2.8269185660389193,4.189470410000002,49%,49,-9.17%,0 days 12:00:00,2.0,12
