BOLLStrategy_26_1.8,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-23 01:00:00,ETHUSD,CLOSE,100,ARCA,463.75,46.375
2018-07-23 05:00:00,ETHUSD,SHORT,100,ARCA,456.16420488,45.616420488
2018-07-23 10:00:00,ETHUSD,CLOSE,100,ARCA,466.11,46.611000000000004
2018-07-24 00:00:00,ETHUSD,SHORT,100,ARCA,454.87,45.487
2018-07-24 13:00:00,ETHUSD,CLOSE,100,ARCA,462.6,46.260000000000005
2018-07-24 15:00:00,ETHUSD,LONG,100,ARCA,472.3,47.230000000000004
2018-07-25 16:00:00,ETHUSD,CLOSE,100,ARCA,475.15,47.515
2018-07-25 19:00:00,ETHUSD,SHORT,100,ARCA,469.47,46.947
2018-07-26 04:00:00,ETHUSD,CLOSE,100,ARCA,475.91,47.59100000000001
2018-07-26 14:00:00,ETHUSD,LONG,100,ARCA,483.01,48.301
2018-07-26 23:00:00,ETHUSD,CLOSE,100,ARCA,475.43,47.543000000000006
2018-07-27 05:00:00,ETHUSD,SHORT,100,ARCA,466.57,46.657000000000004
2018-07-28 00:00:00,ETHUSD,CLOSE,100,ARCA,467.28,46.728
2018-07-28 05:00:00,ETHUSD,LONG,100,ARCA,473.37,47.337
2018-07-28 19:00:00,ETHUSD,CLOSE,100,ARCA,467.6,46.760000000000005
2018-07-30 14:00:00,ETHUSD,SHORT,100,ARCA,462.9,46.29
2018-08-02 08:00:00,ETHUSD,CLOSE,100,ARCA,422.32,42.232
2018-08-02 20:00:00,ETHUSD,SHORT,100,ARCA,411.13,41.113
2018-08-03 18:00:00,ETHUSD,CLOSE,100,ARCA,409.55,40.955000000000005
2018-08-04 01:00:00,ETHUSD,LONG,100,ARCA,418.38,41.838
2018-08-04 18:00:00,ETHUSD,CLOSE,100,ARCA,414.39,41.439
2018-08-04 20:00:00,ETHUSD,SHORT,100,ARCA,408.54,40.854000000000006
2018-08-05 17:00:00,ETHUSD,CLOSE,100,ARCA,408.6,40.86000000000001
2018-08-06 04:00:00,ETHUSD,LONG,100,ARCA,411.96,41.196
2018-08-06 16:00:00,ETHUSD,CLOSE,100,ARCA,407.55,40.755
2018-08-07 05:00:00,ETHUSD,SHORT,100,ARCA,401.42,40.142
2018-08-07 15:00:00,ETHUSD,CLOSE,100,ARCA,408.49,40.849000000000004
2018-08-07 16:00:00,ETHUSD,LONG,100,ARCA,409.5,40.95
2018-08-08 02:00:00,ETHUSD,CLOSE,100,ARCA,404.67,40.467000000000006
2018-08-08 03:00:00,ETHUSD,SHORT,100,ARCA,393.89,39.389
