KDJStrategy_26_30_70,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 02:40:00+00:00,ETHUSDT,LONG,1,ARCA,478.47,0.013
2018-07-25 02:41:00+00:00,ETHUSDT,SHORT,1,ARCA,478.83,0.013
2018-07-25 02:46:00+00:00,ETHUSDT,LONG,1,ARCA,478.0,0.013
2018-07-25 02:47:00+00:00,ETHUSDT,SHORT,1,ARCA,478.16,0.013
2018-07-25 02:51:00+00:00,ETHUSDT,LONG,1,ARCA,477.94,0.013
2018-07-25 02:52:00+00:00,ETHUSDT,SHORT,1,ARCA,477.81,0.013
2018-07-25 02:53:00+00:00,ETHUSDT,LONG,1,ARCA,477.82,0.013
2018-07-25 02:56:00+00:00,ETHUSDT,SHORT,1,ARCA,478.17,0.013
2018-07-25 02:57:00+00:00,ETHUSDT,LONG,1,ARCA,478.12,0.013
2018-07-25 02:58:00+00:00,ETHUSDT,SHORT,1,ARCA,478.0,0.013
2018-07-25 02:59:00+00:00,ETHUSDT,LONG,1,ARCA,477.69,0.013
2018-07-25 03:21:00+00:00,ETHUSDT,SHORT,1,ARCA,476.14,0.013
2018-07-25 03:22:00+00:00,ETHUSDT,LONG,1,ARCA,475.93,0.013
2018-07-25 03:25:00+00:00,ETHUSDT,SHORT,1,ARCA,476.23,0.013
2018-07-25 03:26:00+00:00,ETHUSDT,LONG,1,ARCA,476.49,0.013
2018-07-25 03:27:00+00:00,ETHUSDT,SHORT,1,ARCA,476.51,0.013
2018-07-25 03:28:00+00:00,ETHUSDT,LONG,1,ARCA,475.77,0.013
2018-07-25 03:29:00+00:00,ETHUSDT,SHORT,1,ARCA,476.08,0.013
2018-07-25 03:30:00+00:00,ETHUSDT,LONG,1,ARCA,475.42,0.013
2018-07-25 03:31:00+00:00,ETHUSDT,SHORT,1,ARCA,475.98,0.013
2018-07-25 03:32:00+00:00,ETHUSDT,LONG,1,ARCA,476.13,0.013
2018-07-25 03:33:00+00:00,ETHUSDT,SHORT,1,ARCA,476.09,0.013
2018-07-25 03:34:00+00:00,ETHUSDT,LONG,1,ARCA,476.48,0.013
2018-07-25 03:35:00+00:00,ETHUSDT,SHORT,1,ARCA,477.1,0.013
2018-07-25 03:36:00+00:00,ETHUSDT,LONG,1,ARCA,476.62,0.013
2018-07-25 03:37:00+00:00,ETHUSDT,SHORT,1,ARCA,476.93,0.013
2018-07-25 04:05:00+00:00,ETHUSDT,LONG,1,ARCA,478.65,0.013
2018-07-25 04:06:00+00:00,ETHUSDT,SHORT,1,ARCA,479.56,0.013
2018-07-25 04:07:00+00:00,ETHUSDT,LONG,1,ARCA,479.3,0.013
2018-07-25 04:08:00+00:00,ETHUSDT,SHORT,1,ARCA,478.64,0.013
2018-07-25 04:09:00+00:00,ETHUSDT,LONG,1,ARCA,478.85,0.013
2018-07-25 04:10:00+00:00,ETHUSDT,SHORT,1,ARCA,479.23,0.013
2018-07-25 04:11:00+00:00,ETHUSDT,LONG,1,ARCA,479.01,0.013
2018-07-25 04:12:00+00:00,ETHUSDT,SHORT,1,ARCA,480.08,0.013
2018-07-25 04:13:00+00:00,ETHUSDT,LONG,1,ARCA,479.38,0.013
2018-07-25 04:14:00+00:00,ETHUSDT,SHORT,1,ARCA,479.94,0.013
2018-07-25 04:15:00+00:00,ETHUSDT,LONG,1,ARCA,479.7,0.013
2018-07-25 04:16:00+00:00,ETHUSDT,SHORT,1,ARCA,479.47,0.013
2018-07-25 04:17:00+00:00,ETHUSDT,LONG,1,ARCA,479.43,0.013
2018-07-25 04:18:00+00:00,ETHUSDT,SHORT,1,ARCA,479.16,0.013
2018-07-25 04:19:00+00:00,ETHUSDT,LONG,1,ARCA,478.68,0.013
2018-07-25 04:20:00+00:00,ETHUSDT,SHORT,1,ARCA,479.88,0.013
