,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
172,-9.74%,3.66%,12.19%,4 days 05:26:40.000000000,22.52%,69.62790450313449,2017,3.112603461399959,4.9393307600000025,61%,18,-19.30%,4 days 00:00:00.000000000,60,96,26
204,-6.82%,1.88%,9.55%,2 days 11:22:30.000000000,23.49%,52.463194879799815,2276,2.88984100172463,4.9274295499999985,53%,32,-27.29%,3 days 21:00:00.000000000,60,12,45
141,-4.13%,1.78%,9.79%,1 days 22:09:00.000000000,26.98%,64.82591208036774,2509,2.976275108283585,4.925166239999998,42%,40,-14.54%,0 days 14:00:00.000000000,96,12,26
98,-4.34%,1.62%,8.32%,1 days 13:45:53.000000000,33.00%,54.28146673257653,2106,3.132604726265082,4.910301900000007,47%,51,-19.59%,4 days 07:00:00.000000000,26,60,12
235,-15.41%,4.58%,11.85%,5 days 03:12:00.000000000,24.77%,86.67129690909081,2017,3.0792989664943575,4.9095663000000025,73%,15,-25.85%,3 days 21:00:00.000000000,45,96,45
134,-3.91%,1.78%,9.26%,2 days 00:00:00.000000000,29.91%,47.81005179365674,2276,3.2108532319959457,4.897504419999993,43%,37,-11.70%,2 days 17:00:00.000000000,120,5,26
250,-6.83%,3.57%,16.57%,4 days 03:10:00.000000000,31.73%,66.22082303495895,1686,2.804901381144539,4.866174289999989,44%,18,-14.02%,4 days 08:00:00.000000000,26,252,45
53,-7.99%,2.81%,9.30%,2 days 10:15:00.000000000,30.91%,78.13670288877266,2735,2.9418729021931496,4.855868899999999,62%,32,-29.70%,2 days 04:00:00.000000000,96,120,5
265,-4.74%,1.44%,6.80%,1 days 08:30:00.000000000,22.95%,69.77299862340877,2276,2.794146672246974,4.830274499999996,54%,56,-14.75%,2 days 09:00:00.000000000,12,12,60
108,-4.35%,2.25%,8.84%,2 days 08:03:45.000000000,23.08%,63.88100473424031,2276,3.0226099682166376,4.817909660000005,50%,32,-20.15%,0 days 23:00:00.000000000,60,96,12
288,-4.79%,2.13%,7.84%,2 days 10:15:29.000000000,20.85%,85.78601906439746,2039,2.9216573959258922,4.804581050000002,55%,31,-11.63%,4 days 15:00:00.000000000,5,60,60
281,-5.53%,2.09%,8.19%,2 days 19:44:27.000000000,15.51%,79.58764126587226,2039,2.7689418941031008,4.792819680000004,56%,27,-14.55%,4 days 02:00:00.000000000,12,45,60
114,-4.52%,1.63%,7.54%,1 days 13:23:32.000000000,22.29%,66.84020383875131,2735,2.906750240775153,4.784448930000006,51%,51,-20.75%,2 days 09:00:00.000000000,26,120,12
377,-14.31%,3.72%,11.73%,5 days 12:41:32.000000000,28.56%,53.42870617893528,2017,3.0645241137890897,4.7785393099999975,69%,13,-24.66%,5 days 14:00:00.000000000,12,252,96
104,-3.44%,1.03%,5.18%,0 days 21:55:33.000000000,21.23%,78.6443522237828,2735,2.787590978626341,4.776633740000019,52%,81,-14.75%,0 days 11:00:00.000000000,5,96,12
