ADX_BOLLStrategy_26_72_0.85684,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-06-18 16:00:00,BTCUSDT,LONG,0.00012856559206928864,Binance,6644.95,0.0008551670981189385
2018-06-19 19:00:00,BTCUSDT,SHORT,0.00012856559206928864,Binance,6742.03,0.0008667930786989061
2018-06-19 23:00:00,BTCUSDT,LONG,0.00012832419689263306,Binance,6741.21,0.0008659262856202071
2018-06-20 00:00:00,BTCUSDT,SHORT,0.00012832419689263306,Binance,6670.0,0.0008559223932738624
2018-06-20 14:00:00,BTCUSDT,LONG,0.00012643670025780013,Binance,6756.04,0.0008550664708805887
2018-06-20 15:00:00,BTCUSDT,SHORT,0.00012643670025780013,Binance,6750.62,0.0008535261174943108
2018-06-20 16:00:00,BTCUSDT,LONG,0.00012628890376521897,Binance,6745.01,0.0008526725913768164
2018-06-21 16:00:00,BTCUSDT,SHORT,0.00012628890376521897,Binance,6719.97,0.0008486576446351586
2018-06-25 11:00:00,BTCUSDT,LONG,0.00013590563159758743,Binance,6231.98,0.0008478089869905234
2018-06-26 12:00:00,BTCUSDT,SHORT,0.00013590563159758743,Binance,6209.99,0.000843972613164702
2018-06-29 22:00:00,BTCUSDT,LONG,0.00013490857707059087,Binance,6243.38,0.0008431286405515372
2018-07-01 14:00:00,BTCUSDT,SHORT,0.00013490857707059087,Binance,6285.38,0.0008479516721479506
2018-07-02 13:00:00,BTCUSDT,LONG,0.00012827492481751025,Binance,6597.21,0.0008471037204758026
2018-07-03 15:00:00,BTCUSDT,SHORT,0.00012827492481751025,Binance,6585.02,0.0008446929454218015
2018-07-03 19:00:00,BTCUSDT,LONG,0.0001276981438003713,Binance,6601.54,0.0008438482524763797
2018-07-03 21:00:00,BTCUSDT,SHORT,0.0001276981438003713,Binance,6617.95,0.0008450999307636673
2018-07-04 13:00:00,BTCUSDT,LONG,0.00012562960376706392,Binance,6713.47,0.0008442548308329036
2018-07-05 15:00:00,BTCUSDT,SHORT,0.00012562960376706392,Binance,6611.36,0.0008305825371614157
