BOLL_RSIStrategy_30_0.1_7_76_45,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-05-09 21:00:00,BTCUSDT,LONG,0.00011432847857000121,Binance,9273.69,0.001061308176606441
2018-05-10 03:00:00,BTCUSDT,CLOSE,0.00011432847857000121,Binance,9344.89,0.0010683870561040186
2018-05-10 06:00:00,BTCUSDT,LONG,0.00011474729265380061,Binance,9292.17,0.0010673186690479143
2018-05-10 17:00:00,BTCUSDT,CLOSE,0.00011474729265380061,Binance,9157.55,0.0010508040698418118
2018-05-12 19:00:00,BTCUSDT,LONG,0.00012366757537201538,Binance,8480.02,0.00104975326577197
2018-05-12 20:00:00,BTCUSDT,CLOSE,0.00012366757537201538,Binance,8420.97,0.0010414009421804802
2018-05-14 23:00:00,BTCUSDT,LONG,0.0001199674931027827,Binance,8663.34,0.0010403595412382999
2018-05-15 14:00:00,BTCUSDT,CLOSE,0.0001199674931027827,Binance,8500.0,0.001019723691373653
2018-05-17 10:00:00,BTCUSDT,LONG,0.000122639870009086,Binance,8298.16,0.0010187039676822793
2018-05-17 12:00:00,BTCUSDT,CLOSE,0.000122639870009086,Binance,8265.04,0.0010136234312198961
2018-05-17 13:00:00,BTCUSDT,LONG,0.00012187918047962501,Binance,8300.0,0.0010126098077886763
2018-05-17 14:00:00,BTCUSDT,CLOSE,0.00012187918047962501,Binance,8317.99,0.001013789804437716
2018-05-19 01:00:00,BTCUSDT,LONG,0.00012368728627699049,Binance,8180.01,0.0010127760146332783
2018-05-19 21:00:00,BTCUSDT,CLOSE,0.00012368728627699049,Binance,8189.0,0.001012875187322275
2018-05-21 00:00:00,BTCUSDT,LONG,0.00011903463464418192,Binance,8492.07,0.0010118623121349527
2018-05-21 14:00:00,BTCUSDT,CLOSE,0.00011903463464418192,Binance,8396.01,0.000999415982818898
2018-05-25 01:00:00,BTCUSDT,LONG,0.00013197010155839947,Binance,7557.91,0.000998416566836079
2018-05-25 06:00:00,BTCUSDT,CLOSE,0.00013197010155839947,Binance,7482.92,0.0009875217123533784
2018-05-26 14:00:00,BTCUSDT,LONG,0.00013109155966145085,Binance,7518.01,0.0009865341906410252
2018-05-26 21:00:00,BTCUSDT,CLOSE,0.00013109155966145085,Binance,7463.0,0.0009783363097534076
2018-05-30 08:00:00,BTCUSDT,LONG,0.0001306894144652939,Binance,7471.0,0.0009773579734436543
2018-05-30 14:00:00,BTCUSDT,CLOSE,0.0001306894144652939,Binance,7374.45,0.0009637625525035866
2018-05-31 13:00:00,BTCUSDT,LONG,0.0001276025327400261,Binance,7537.75,0.0009627987899510828
2018-05-31 17:00:00,BTCUSDT,CLOSE,0.0001276025327400261,Binance,7590.0,0.0009685032234967981
2018-05-31 23:00:00,BTCUSDT,LONG,0.0001291337200021146,Binance,7485.01,0.0009675347202733011
2018-06-01 04:00:00,BTCUSDT,CLOSE,0.0001291337200021146,Binance,7491.22,0.000967369105954241
2018-06-02 13:00:00,BTCUSDT,LONG,0.00012643224193738318,Binance,7635.99,0.0009664017368482869
2018-06-03 06:00:00,BTCUSDT,CLOSE,0.00012643224193738318,Binance,7729.64,0.0009772757145688747
2018-06-03 15:00:00,BTCUSDT,LONG,0.00012617346425366222,Binance,7730.01,0.0009762984388543058
2018-06-04 02:00:00,BTCUSDT,CLOSE,0.00012617346425366222,Binance,7674.0,0.0009682551646826039
2018-06-06 00:00:00,BTCUSDT,LONG,0.00012706372420886303,Binance,7605.0,0.0009672869095179213
2018-06-06 16:00:00,BTCUSDT,CLOSE,0.00012706372420886303,Binance,7516.99,0.0009551367442407813
2018-06-07 07:00:00,BTCUSDT,LONG,0.00012366231066070825,Binance,7708.31,0.0009541816074965406
2018-06-07 22:00:00,BTCUSDT,CLOSE,0.00012366231066070825,Binance,7659.39,0.0009471778656515224
2018-06-07 23:00:00,BTCUSDT,LONG,0.00012290659531536335,Binance,7691.08,0.0009462306877858706
2018-06-08 01:00:00,BTCUSDT,CLOSE,0.00012290659531536335,Binance,7674.0,0.0009431852124500983
2018-06-09 09:00:00,BTCUSDT,LONG,0.0001232156484053709,Binance,7639.45,0.0009422420272376484
2018-06-09 12:00:00,BTCUSDT,CLOSE,0.0001232156484053709,Binance,7603.15,0.0009368270571732957
2018-06-12 06:00:00,BTCUSDT,LONG,0.0001367698131919839,Binance,6835.97,0.0009358902301161223
2018-06-12 12:00:00,BTCUSDT,CLOSE,0.0001367698131919839,Binance,6715.0,0.000918409295584172
2018-06-14 14:00:00,BTCUSDT,LONG,0.00014278845872510153,Binance,6419.1,0.0009174908862885877
2018-06-14 15:00:00,BTCUSDT,CLOSE,0.00014278845872510153,Binance,6344.35,0.000905899958112598
2018-06-15 01:00:00,BTCUSDT,LONG,0.0001373054432442704,Binance,6584.51,0.0009049940581544854
2018-06-15 11:00:00,BTCUSDT,CLOSE,0.0001373054432442704,Binance,6525.0,0.0008959180171688643
2018-06-16 23:00:00,BTCUSDT,LONG,0.00013789787708360358,Binance,6483.98,0.0008950220991516956
2018-06-17 12:00:00,BTCUSDT,CLOSE,0.00013789787708360358,Binance,6455.37,0.000890181818789182
2018-06-17 16:00:00,BTCUSDT,LONG,0.0001365907064035446,Binance,6504.12,0.0008892916369703928
2018-06-17 20:00:00,BTCUSDT,CLOSE,0.0001365907064035446,Binance,6487.0,0.0008860639124397938
2018-06-19 01:00:00,BTCUSDT,LONG,0.0001317998543346648,Binance,6709.36,0.000885177848527354
2018-06-19 12:00:00,BTCUSDT,CLOSE,0.0001317998543346648,Binance,6765.82,0.0008917340904545617
2018-06-19 18:00:00,BTCUSDT,LONG,0.00013262094333018053,Binance,6710.49,0.0008908423563641073
2018-06-19 20:00:00,BTCUSDT,CLOSE,0.00013262094333018053,Binance,6698.0,0.0008882950784255492
