MACD_RSIStrategy_41_113_2_74_36,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-12-12 20:00:00,BTCUSDT,LONG,0.00010559913185714694,Binance,16400.02,0.0017335614358757229
2017-12-12 22:00:00,BTCUSDT,SHORT,0.00010559913185714694,Binance,16539.01,0.0017465050977766717
2017-12-12 23:00:00,BTCUSDT,LONG,0.00010660641591133792,Binance,16349.99,0.001744758592678895
2017-12-13 04:00:00,BTCUSDT,SHORT,0.00010660641591133792,Binance,15750.51,0.0016791054198756871
2017-12-13 07:00:00,BTCUSDT,LONG,0.00010415384312188606,Binance,16089.17,0.0016774263144558115
2017-12-13 12:00:00,BTCUSDT,SHORT,0.00010415384312188606,Binance,16093.23,0.0016761717527444305
2017-12-13 14:00:00,BTCUSDT,LONG,0.00010528793857844786,Binance,15888.06,0.001674495580991686
2017-12-13 19:00:00,BTCUSDT,SHORT,0.00010528793857844786,Binance,15678.66,0.0016507737910723672
2017-12-14 02:00:00,BTCUSDT,LONG,0.0001048633759262981,Binance,15710.67,0.001649123017281295
2017-12-14 07:00:00,BTCUSDT,SHORT,0.0001048633759262981,Binance,15775.23,0.0016542438738138155
2017-12-14 10:00:00,BTCUSDT,LONG,0.00010361499194207769,Binance,15933.38,0.0016525896299400015
2017-12-14 11:00:00,BTCUSDT,SHORT,0.00010361499194207769,Binance,16099.0,0.0016680977552755087
2017-12-14 14:00:00,BTCUSDT,LONG,0.00010431461676707231,Binance,15959.06,0.0016664296575202334
2017-12-14 16:00:00,BTCUSDT,SHORT,0.00010431461676707231,Binance,16147.91,0.0016844630432391748
2017-12-14 20:00:00,BTCUSDT,LONG,0.0001035926165421843,Binance,16227.95,0.0016827785801959356
2017-12-14 23:00:00,BTCUSDT,SHORT,0.0001035926165421843,Binance,16334.98,0.0016921833193642498
2017-12-15 04:00:00,BTCUSDT,LONG,9.818585566712871e-05,Binance,17200.04,0.0016904911360448856
2017-12-15 05:00:00,BTCUSDT,SHORT,9.818585566712871e-05,Binance,17244.99,0.0016932140991210783
2017-12-15 06:00:00,BTCUSDT,LONG,9.856404884469726e-05,Binance,17144.48,0.0016915208850219572
2017-12-15 08:00:00,BTCUSDT,SHORT,9.856404884469726e-05,Binance,17299.02,0.001705061452245395
2017-12-15 13:00:00,BTCUSDT,LONG,9.589970713642438e-05,Binance,17744.09,0.0017033563907931496
2017-12-15 18:00:00,BTCUSDT,SHORT,9.589970713642438e-05,Binance,17699.94,0.0016974190623322831
2017-12-15 21:00:00,BTCUSDT,LONG,9.652558353931682e-05,Binance,17550.02,0.001695721643269951
2017-12-16 00:00:00,BTCUSDT,SHORT,9.652558353931682e-05,Binance,17577.99,0.0016967257421982758
2017-12-16 01:00:00,BTCUSDT,LONG,9.698361898279617e-05,Binance,17460.0,0.0016950290164560774
2017-12-16 05:00:00,BTCUSDT,SHORT,9.698361898279617e-05,Binance,17489.0,0.0016961465123901222
2017-12-16 17:00:00,BTCUSDT,LONG,9.052170671186387e-05,Binance,18700.0,0.001694450365877732
2017-12-16 18:00:00,BTCUSDT,SHORT,9.052170671186387e-05,Binance,18747.53,0.0016970584122318693
2017-12-17 00:00:00,BTCUSDT,LONG,8.893436213326076e-05,Binance,19044.0,0.0016953613538196373
2017-12-17 06:00:00,BTCUSDT,SHORT,8.893436213326076e-05,Binance,19222.22,0.0017095158744852078
2017-12-17 12:00:00,BTCUSDT,LONG,8.813402997479656e-05,Binance,19358.0,0.0017078063586107226
2017-12-17 20:00:00,BTCUSDT,SHORT,8.813402997479656e-05,Binance,19025.0,0.0016767499202705047
2017-12-18 00:00:00,BTCUSDT,LONG,9.374789759875831e-05,Binance,17849.98,0.0016750731703502341
2017-12-18 02:00:00,BTCUSDT,SHORT,9.374789759875831e-05,Binance,18238.94,0.001709862279429897
2017-12-18 07:00:00,BTCUSDT,LONG,9.185795248494596e-05,Binance,18576.99,0.001708152417150467
2017-12-18 11:00:00,BTCUSDT,SHORT,9.185795248494596e-05,Binance,19126.66,0.0017569358254757167
2017-12-18 13:00:00,BTCUSDT,LONG,9.423969207570626e-05,Binance,18606.0,0.0017551788896502409
2017-12-18 20:00:00,BTCUSDT,SHORT,9.423969207570626e-05,Binance,18588.05,0.0017517321082878316
2017-12-18 21:00:00,BTCUSDT,LONG,9.423426936039989e-05,Binance,18551.96,0.0017499803761795438
2017-12-18 22:00:00,BTCUSDT,SHORT,9.423426936039989e-05,Binance,18680.0,0.00176029615165227
2017-12-19 01:00:00,BTCUSDT,LONG,9.472657752388372e-05,Binance,18545.77,0.0017585358555006177
2017-12-19 03:00:00,BTCUSDT,SHORT,9.472657752388372e-05,Binance,18729.17,0.0017741501739629972
2017-12-19 05:00:00,BTCUSDT,LONG,9.471462091844241e-05,Binance,18694.09,0.0017723760237890343
