RSIStrategy_5_70_30,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-05-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-12-10 01:00:00,BTCUSDT,LONG,100,Binance,13400.0,1340.0
2017-12-10 12:00:00,BTCUSDT,SHORT,100,Binance,13720.01,1372.0010000000002
2017-12-10 22:00:00,BTCUSDT,LONG,100,Binance,14356.49,1435.6490000000001
2017-12-11 02:00:00,BTCUSDT,SHORT,100,Binance,16147.0,1614.7
2017-12-11 11:00:00,BTCUSDT,LONG,100,Binance,16052.02,1605.2020000000002
2017-12-11 16:00:00,BTCUSDT,SHORT,100,Binance,16335.0,1633.5
2017-12-12 00:00:00,BTCUSDT,LONG,100,Binance,16641.74,1664.1740000000002
2017-12-12 08:00:00,BTCUSDT,SHORT,100,Binance,16764.8,1676.48
2017-12-12 12:00:00,BTCUSDT,LONG,100,Binance,16237.39,1623.739
2017-12-12 21:00:00,BTCUSDT,SHORT,100,Binance,16467.61,1646.7610000000002
2017-12-13 01:00:00,BTCUSDT,LONG,100,Binance,16079.94,1607.9940000000001
2017-12-13 07:00:00,BTCUSDT,SHORT,100,Binance,16089.17,1608.9170000000001
2017-12-13 10:00:00,BTCUSDT,LONG,100,Binance,15718.02,1571.8020000000001
2017-12-13 22:00:00,BTCUSDT,SHORT,100,Binance,16146.03,1614.603
2017-12-14 03:00:00,BTCUSDT,LONG,100,Binance,15635.09,1563.509
2017-12-14 08:00:00,BTCUSDT,SHORT,100,Binance,16075.01,1607.5010000000002
2017-12-15 07:00:00,BTCUSDT,LONG,100,Binance,17073.27,1707.3270000000002
2017-12-15 09:00:00,BTCUSDT,SHORT,100,Binance,17640.05,1764.005
2017-12-15 15:00:00,BTCUSDT,LONG,100,Binance,17542.81,1754.2810000000002
2017-12-15 20:00:00,BTCUSDT,SHORT,100,Binance,17709.99,1770.9990000000003
2017-12-15 23:00:00,BTCUSDT,LONG,100,Binance,17539.83,1753.9830000000002
2017-12-16 07:00:00,BTCUSDT,SHORT,100,Binance,17677.54,1767.7540000000001
2017-12-17 03:00:00,BTCUSDT,LONG,100,Binance,19017.75,1901.775
2017-12-17 06:00:00,BTCUSDT,SHORT,100,Binance,19222.22,1922.2220000000002
2017-12-17 16:00:00,BTCUSDT,LONG,100,Binance,18950.0,1895.0
2017-12-18 05:00:00,BTCUSDT,SHORT,100,Binance,18920.15,1892.0150000000003
2017-12-18 16:00:00,BTCUSDT,LONG,100,Binance,18469.98,1846.998
2017-12-18 23:00:00,BTCUSDT,SHORT,100,Binance,18856.25,1885.625
2017-12-19 09:00:00,BTCUSDT,LONG,100,Binance,18234.89,1823.489
2017-12-19 19:00:00,BTCUSDT,SHORT,100,Binance,17622.26,1762.2259999999999
2017-12-19 21:00:00,BTCUSDT,LONG,100,Binance,16575.0,1657.5
