,open,close,high,low,volume
2017-09-05 02:00:00,269.17,283.39,284.28,267.64,33381.13394006988
2017-09-05 03:00:00,283.33,276.59,284.09,270.0,19093.514043390096
2017-09-05 04:00:00,276.59,282.31,284.93,272.04,15598.786240890058
2017-09-05 05:00:00,282.65,274.08,282.7,271.02,11880.955232310025
2017-09-05 06:00:00,273.87,289.0,289.0,273.87,12176.54224211998
2017-09-05 07:00:00,288.93,296.4,296.67,287.57,16421.850926700004
2017-09-05 08:00:00,296.39,291.06,298.97,287.5,12861.513550239995
2017-09-05 09:00:00,290.84,290.94,292.71,282.51,13658.868156940012
2017-09-05 10:00:00,291.21,294.38,298.83,290.57,11890.646185710011
2017-09-05 11:00:00,294.28,298.94,298.95,290.51,11287.408778350024
2017-09-05 12:00:00,298.23,300.19,306.6,298.01,19983.54208081006
2017-09-05 13:00:00,300.2,305.5,306.89,300.03,13354.546559540042
2017-09-05 14:00:00,305.52,305.01,306.74,302.7,10520.876397429975
2017-09-05 15:00:00,305.0,296.09,305.01,294.54,20400.519424430036
2017-09-05 16:00:00,296.49,302.0,302.5,293.34,14264.154279940009
2017-09-05 17:00:00,302.0,308.22,310.5,301.04,20847.94795195997
2017-09-05 18:00:00,308.21,313.27,316.4,306.73,18661.17177263
2017-09-05 19:00:00,313.3,317.23,319.58,313.28,17194.281736140067
2017-09-05 20:00:00,317.22,317.6,318.77,309.65,15385.563802580114
2017-09-05 21:00:00,317.71,311.33,317.99,310.2,9240.970093060034
2017-09-05 22:00:00,311.47,320.52,321.45,311.2,10647.740200160106
2017-09-05 23:00:00,320.4,316.2,323.17,313.13,12274.859601270084
2017-09-06 00:00:00,316.03,323.9,324.73,315.3,10073.459061500014
2017-09-06 01:00:00,323.9,331.68,331.87,321.59,21208.846344509904
2017-09-06 02:00:00,331.66,328.1,332.0,326.95,11672.088229620023
2017-09-06 03:00:00,328.26,325.76,330.73,323.98,10220.725874710002
2017-09-06 04:00:00,325.75,316.14,328.4,315.99,12289.65044887999
2017-09-06 05:00:00,316.25,321.38,322.78,314.81,10942.389928700024
2017-09-06 06:00:00,321.7,319.5,321.85,316.49,5364.803044350011
2017-09-06 07:00:00,319.51,327.08,329.95,319.18,11567.050084170014
2017-09-06 08:00:00,327.34,333.61,334.5,326.51,12147.354664230013
2017-09-06 09:00:00,333.34,328.43,333.89,324.27,9821.509691569987
2017-09-06 10:00:00,328.07,330.57,332.12,324.21,4972.9447620900055
2017-09-06 11:00:00,330.51,331.21,332.0,326.04,7185.89888759001
2017-09-06 12:00:00,331.29,329.3,334.38,326.53,10128.949441120032
2017-09-06 13:00:00,329.84,328.48,329.85,321.67,12482.07227005001
2017-09-06 14:00:00,328.47,325.77,329.9,325.77,7117.361580039997
2017-09-06 15:00:00,325.61,334.48,334.92,325.12,12884.614629939999
2017-09-06 16:00:00,334.28,337.09,339.0,332.51,13930.126467870004
2017-09-06 17:00:00,337.16,339.5,339.5,333.25,12227.335617689994
2017-09-06 18:00:00,339.5,335.64,339.5,334.56,9243.282540200003
2017-09-06 19:00:00,335.55,336.52,338.1,333.0,6478.008354789998
2017-09-06 20:00:00,336.31,332.73,337.67,331.99,8232.389377500002
2017-09-06 21:00:00,332.91,335.99,336.28,332.0,4507.617847900005
2017-09-06 22:00:00,335.99,335.95,336.38,333.1,3115.8083834399913
