RSIStrategy_2_77_34,tickers,['BTCUSDT'],initial equity,1,frequency,60 min,,
,,,,,,,,
Start date,2018/4/1 0:00,End date,2018/9/1 0:00,,,,,
,,,,,,,,
timestamp,ticker,action,quantity,exchange,price,commission,,
,,,,,,,,
2018/5/12 14:00,BTCUSDT,LONG,0.000119503,Binance,8473.23,0.00101359,,
,,,,,,,,
2018/5/12 17:00,BTCUSDT,SHORT,0.000119503,Binance,8374.09,0.001000728,,
,,,,,,,,
2018/5/12 21:00,BTCUSDT,LONG,0.000118835,Binance,8404.35,0.000999728,,
,,,,,,,,
2018/5/12 23:00,BTCUSDT,SHORT,0.000118835,Binance,8465.94,0.001006047,,
,,,,,,,,
2018/5/13 0:00,BTCUSDT,LONG,0.000119358,Binance,8412,0.001005041,,
,,,,,,,,
2018/5/13 6:00,BTCUSDT,SHORT,0.000119358,Binance,8436,0.0010069,,
,,,,,,,,
2018/5/13 11:00,BTCUSDT,LONG,0.000117462,Binance,8555,0.001005894,,
,,,,,,,,
2018/5/13 12:00,BTCUSDT,SHORT,0.000117462,Binance,8571.93,0.001006876,,
,,,,,,,,
2018/5/13 17:00,BTCUSDT,LONG,0.000117542,Binance,8549,0.001005869,,
,,,,,,,,
2018/5/13 19:00,BTCUSDT,SHORT,0.000117542,Binance,8632,0.00101462,,
,,,,,,,,
2018/5/14 0:00,BTCUSDT,LONG,0.000116847,Binance,8665.97,0.001013605,,
,,,,,,,,
2018/5/14 8:00,BTCUSDT,SHORT,0.000116847,Binance,8433.35,0.00098541,,
,,,,,,,,
2018/5/14 10:00,BTCUSDT,LONG,0.000117185,Binance,8392.2,0.000984425,,
,,,,,,,,
2018/5/14 11:00,BTCUSDT,SHORT,0.000117185,Binance,8415.01,0.000986114,,
,,,,,,,,
2018/5/14 17:00,BTCUSDT,LONG,0.000112507,Binance,8747.36,0.000985127,,
,,,,,,,,
2018/5/14 20:00,BTCUSDT,SHORT,0.000112507,Binance,8805,0.000990627,,
,,,,,,,,
2018/5/14 22:00,BTCUSDT,LONG,0.000114945,Binance,8601.01,0.000989637,,
,,,,,,,,
2018/5/15 0:00,BTCUSDT,SHORT,0.000114945,Binance,8693.99,0.000999335,,
,,,,,,,,
2018/5/15 2:00,BTCUSDT,LONG,0.000115166,Binance,8660,0.000998335,,
,,,,,,,,
2018/5/15 6:00,BTCUSDT,SHORT,0.000115166,Binance,8734.4,0.001005905,,
,,,,,,,,
2018/5/15 8:00,BTCUSDT,LONG,0.000115158,Binance,8717.56,0.001004899,,
,,,,,,,,
2018/5/15 10:00,BTCUSDT,SHORT,0.000115158,Binance,8783.19,0.001011452,,
,,,,,,,,
2018/5/15 12:00,BTCUSDT,LONG,0.000115203,Binance,8762.18,0.001010441,,
,,,,,,,,
2018/5/15 16:00,BTCUSDT,SHORT,0.000115203,Binance,8537,0.000983489,,
,,,,,,,,
2018/5/15 18:00,BTCUSDT,LONG,0.000115359,Binance,8508.4,0.000982505,,
,,,,,,,,
2018/5/16 4:00,BTCUSDT,SHORT,0.000115359,Binance,8202.01,0.000946178,,
,,,,,,,,
2018/5/16 8:00,BTCUSDT,LONG,0.000115399,Binance,8182.83,0.000945232,,
,,,,,,,,
